id	count	familiarity	hotttnesss	names
AR009211187B989185	2	0.3968178443102914	0.2974048028708694	Carroll Thompson
AR00A6H1187FB5402A	4	0.5140642764185136	0.3956275143166047	The Meatmen
AR00LNI1187FB444A5	2	0.4712126073505239	0.3402755073008875	Bruce BecVar
AR00MBZ1187B9B5DB1	3	0.5885718420568349	0.36064422701589893	Memphis Minnie
AR01IP11187B9AF5D2	4	0.6347645563707436	0.42397626349899253	Call To Preserve
AR01VU31187B997DA0	1	0.6918008497694178	0.5015970423227067	Grand Funk
AR01W2D1187FB5912F	1	0.7865294756459085	0.6033245600156352	3OH!3
AR022JO1187B99587B	1	0.5846337906365346	0.2889999383945862	Ross
AR02DB61187B9A0B5E	1	0.46482443158164183	0.33639130405532147	Annie Philippe
AR02IU11187FB513F2	6	0.7221052981201719	0.48072478092092114	Tito Puente
AR02KZG1187FB3B3B4	1	0.3872956913072	0.2833671082822719	Hi-Fi Companions
AR02PUA1187FB52574	3	0.5860000582801564	0.4095505953637158	Delta 9
AR02YGA1187B9B8AC4	5	0.6155041026415558	0.43983635888759404	Bersuit Vergarabat
AR035N21187FB3938E	7	0.7864270833791762	0.5122267383177268	BT
AR039B11187B9B30D0	6	0.7052876780775723	0.5172980180255892	John Williams
AR03BDP1187FB5B324	10	0.9473275066349645	0.6072572795814319	Britney Spears
AR03GWG1187B9B6C85	1	0.6443348659605237	0.3977329927460107	Sylver
AR040M31187B98CA41	2	0.6519521387156756	0.4496939977678286	The Bug Featuring Ricky Ranking
AR040QX1187FB4CFE1	2	0.8311639411089827	0.5789335403168036	Alexisonfire
AR048JZ1187B9AEB85	1	0.8729337830728209	0.6274672585628777	Yellowcard
AR04KTB1187B99B6B7	1	0.541611590603318	0.3456373142289708	The Disposable Heroes Of Hiphoprisy
AR050VJ1187B9B13A7	3	0.737037558041999	0.5392454183492504	Dead Kennedys
AR051KA1187B98B2FF	10	0.3511824538830121	0.08016693866425	Wilks featuring pee wee ellis
AR0569B1187B9A4036	3	0.4950666609736366	0.34751176451577365	Mike Bloomfield
AR059HI1187B9A14D7	6	0.37834796858643616	0.3065186000380746	Roy Drusky
AR05IU31187B9B9A1A	3	0.5814752192996689	0.2926627730439268	Alex Ubago
AR05KQA1187B9963B3	1	0.3726755831274244	0.2520844264180082	D'Molls
AR05NQH1187B98E875	3	0.6013951130878358	0.4367302210885851	Kassav'
AR05OJD1187B9B99A6	2	0.6940981447257735	0.4675520207316884	Ol' Dirty Bastard
AR05VW21187FB407B4	3	0.5266460549313882	0.3523420130063612	Fudge Tunnel
AR05XFO1187FB4DAE5	1	0.4716695935086479	0.3661026235110073	Mat Maneri
AR061J011A348F060F	1	0.6228901803498007	0.38832512505608235	Ximena Sarinana
AR0693R1187FB59D32	3	0.5467887166543237	0.37082898997298236	Dusminguet
AR06EB01187FB40150	5	0.7788167165625715	0.5542914890128156	NOFX
AR06EHB1187FB42914	1	0.5842254221451431	0.35987304591278646	Chico Cesar
AR06IFV1187B9977EC	1	0.599662426329729	0.3855717251680908	MU330
AR06M3F1187FB38BED	1	0.6032689215608122	0.3853053783339382	Mississippi Fred McDowell
AR06USW1187FB4EACA	3	0.5070160807186288	0.42138826495338527	The Lord Weird Slough Feg
AR07CRG1187FB594FA	1	0.5470791110686489	0.4154933495370673	Seventh Star
AR07HWO1187B9A2189	2	0.3562783133800606	0.0	Lil' Band O' Gold
AR07QYZ1187FB5BF78	1	0.6546234634180057	0.406757086842829	Letters To Cleo
AR07VS41187FB37944	3	0.623696863115986	0.4002112979184991	Mungo Jerry
AR08DYV1187B99A0D7	1	0.41716442232685497	0.31728859770577345	Reach 454
AR08GQF1187B98E316	3	0.47396333320767403	0.35070665990043637	Daath
AR08NXW1187B99526D	1	0.42950767177027105	0.2620939623464242	Die Symphony
AR08YJF1187B9B2D59	4	0.5296593308867515	0.31311203183458997	The Freedom
AR0A30G1187B9B183B	3	0.519969697661519	0.41977664522963215	M.A. Numminen
AR0AVIB1187FB37D01	4	0.5660243021595366	0.3846016855478264	Regina Belle
AR0B1CH1187FB3A824	4	0.5828046937905624	0.44866907394031896	Charlie Rich
AR0B3RS1187FB48F5D	4	0.8220349621993864	0.4770197895144525	Why?
AR0B5HI1187B9B9DB9	1	0.48504926829573464	0.25822409030186455	Silvério Pessoa
AR0B6VD1187B99C293	3	0.4662622096456242	0.3696098345548582	Uphill Battle
AR0B8CT1187B9B2CF3	2	0.4041050865374257	0.2152722592313886	Fyah Blaze
AR0B9V01187FB55276	1	0.607327068135898	0.5004501862956541	Jeremy Fisher
AR0BATO119B34038DB	1	0.3503927172111238	0.2936687668447185	The Dreamtree Project
AR0BLA51187FB4E6CD	2	0.5266907318141009	0.37847830910582686	The In Crowd / Jah Stitch
AR0BV7E1187FB386C1	6	0.632008012811142	0.14468466090957882	Lee Ritenour
AR0CANF1187B9AF35F	5	0.8048388888270448	0.45784115609436704	Dilated Peoples
AR0CDSK1187FB52ED6	6	0.6042587284435574	0.4610230157261765	Asleep At The Wheel
AR0CWOB1187B99FA08	3	0.4780835210694756	0.37838739778300756	Christophe Beck
AR0CWSC1187B9AFE3F	2	0.4295449417044465	0.32246815446359933	José Augusto
AR0CZWN1187B9A47E2	2	0.6051163549180901	0.34752282682496044	Obie Bermudez
AR0D6EL1187B9AF46B	1	0.6960303007147673	0.5294534525142538	Eazy-E
AR0DQEE1187B9A22DC	1	0.44181643919902075	0.3171853345648834	Daniel Chan
AR0DSOO1187B9B855E	4	0.5932626547558714	0.3720690582283289	Wailing Souls
AR0DTOH1187FB4B83A	1	0.5103779039028549	0.3385424503209152	Eddie Henderson
AR0FGL21187FB56301	1	0.4221030433845711	0.3405238268004334	Ras Michael and the Sons of Negus
AR0FQ071187B9ACEC0	1	0.40704480621528977	0.2904050896801759	Eduardo Dusek
AR0G47L1187B98CC6D	4	0.44625666654061785	0.3463575222425513	Frank Chacksfield
